iprange,region,service
15.181.232.0/21,us-east-1,EC2
3.2.0.0/24,us-east-1,EC2
161.188.154.0/23,us-east-1,EC2
142.4.160.80/29,us-east-1,EC2
15.220.196.0/22,us-east-1,EC2
142.4.160.56/29,us-west-2,EC2
3.4.0.0/24,us-east-1,EC2
15.220.252.0/22,us-west-2,EC2
15.220.222.0/23,us-east-1,EC2
161.188.146.0/23,us-east-1,EC2
15.181.247.0/24,us-east-1,EC2
15.220.207.0/24,us-west-2,EC2
15.181.160.0/20,us-east-1,EC2
15.181.80.0/20,us-east-1,EC2
161.188.148.0/23,us-west-2,EC2
18.34.32.0/20,eu-west-1,EC2
63.246.113.0/24,eu-west-1,EC2
161.188.158.0/23,us-east-1,EC2
3.4.3.0/24,us-west-2,EC2
161.188.156.0/23,us-west-2,EC2
15.181.253.0/24,us-west-2,EC2
18.34.0.0/19,us-east-1,EC2
3.144.0.0/13,us-east-2,EC2
64.187.128.0/20,us-east-1,EC2
142.4.160.40/29,us-east-1,EC2
142.4.160.8/29,us-east-1,EC2
15.181.112.0/22,us-east-1,EC2
68.66.112.0/20,us-east-1,EC2
18.34.72.0/21,us-east-2,EC2
70.224.192.0/18,us-west-2,EC2
161.188.136.0/23,us-east-1,EC2
3.4.7.0/24,us-east-1,EC2
15.181.241.0/24,us-east-1,EC2
161.188.130.0/23,us-east-1,EC2
70.232.124.0/22,eu-west-1,EC2
161.188.140.0/23,us-east-1,EC2
142.4.160.0/29,us-east-1,EC2
3.4.1.0/24,us-east-1,EC2
161.188.128.0/23,us-east-1,EC2
15.181.144.0/20,us-east-1,EC2
15.181.254.0/24,us-east-1,EC2
161.188.142.0/23,us-east-1,EC2
35.71.72.0/22,eu-west-1,EC2
15.181.176.0/20,us-east-1,EC2
15.220.202.0/23,us-west-2,EC2
15.181.48.0/20,us-east-1,EC2
142.4.160.64/29,us-west-2,EC2
142.4.160.24/29,us-east-1,EC2
142.4.160.120/29,us-east-1,EC2
208.110.48.0/20,us-east-1,EC2
52.95.230.0/24,us-west-2,EC2
3.4.6.0/24,us-west-2,EC2
15.220.200.0/23,us-west-2,EC2
15.181.0.0/20,us-west-2,EC2
35.71.102.0/24,us-east-2,EC2
63.246.119.0/24,us-east-1,EC2
3.2.3.0/24,us-east-1,EC2
15.181.224.0/21,us-east-1,EC2
15.220.0.0/20,us-west-2,EC2
15.220.16.0/20,us-west-2,EC2
161.188.134.0/23,us-west-2,EC2
161.188.144.0/23,us-east-1,EC2
18.34.244.0/22,us-west-2,EC2
142.4.160.48/29,us-east-1,EC2
15.220.226.0/24,us-west-2,EC2
161.188.132.0/23,us-east-1,EC2
15.181.128.0/20,us-west-2,EC2
15.220.204.0/24,us-west-2,EC2
70.232.92.0/22,us-east-1,EC2
15.181.245.0/24,us-west-2,EC2
35.71.68.0/22,us-east-1,EC2
142.4.160.88/29,us-east-1,EC2
15.220.233.0/24,us-east-1,EC2
15.181.64.0/20,us-west-2,EC2
142.4.160.16/29,us-west-2,EC2
15.181.248.0/24,us-west-2,EC2
18.34.252.0/22,us-east-2,EC2
3.2.2.0/24,us-east-1,EC2
3.3.5.0/24,us-east-1,EC2
15.181.192.0/19,us-east-1,EC2
15.253.0.0/16,us-west-2,EC2
15.181.252.0/24,us-west-2,EC2
15.181.242.0/24,us-east-1,EC2
15.181.40.0/21,us-east-1,EC2
18.34.48.0/20,us-west-2,EC2
18.34.232.0/21,us-east-1,EC2
15.181.16.0/20,us-west-2,EC2
15.181.96.0/20,us-east-1,EC2
162.222.148.0/22,us-west-2,EC2
3.4.2.0/24,us-east-1,EC2
18.34.240.0/22,eu-west-1,EC2
15.220.220.0/23,us-east-1,EC2
161.188.138.0/23,us-west-2,EC2
15.191.0.0/16,us-east-1,EC2
15.220.248.0/23,us-east-1,EC2
15.220.250.0/23,us-east-1,EC2
15.220.236.0/22,us-east-1,EC2
15.181.249.0/24,us-east-1,EC2
15.220.205.0/24,us-west-2,EC2
142.4.160.72/29,us-east-1,EC2
142.4.160.104/29,us-west-2,EC2
204.45.0.0/16,us-east-1,EC2
15.220.206.0/24,us-west-2,EC2
161.188.152.0/23,us-west-2,EC2
15.220.234.0/23,us-east-1,EC2
15.254.0.0/16,us-west-2,EC2
15.181.244.0/24,us-east-1,EC2
142.4.160.96/29,us-west-2,EC2
15.181.120.0/21,us-east-1,EC2
161.188.150.0/23,us-east-1,EC2
15.181.251.0/24,us-west-2,EC2
142.4.160.32/29,us-west-2,EC2
142.4.160.112/29,us-east-1,EC2
161.188.160.0/23,us-west-2,EC2
3.5.0.0/19,us-east-1,EC2
15.181.246.0/24,us-east-1,EC2
72.41.0.0/20,us-east-1,EC2
15.181.240.0/24,us-east-1,EC2
3.4.4.0/24,us-west-2,EC2
15.181.32.0/21,us-east-1,EC2
15.181.116.0/22,us-west-2,EC2
15.181.243.0/24,us-east-1,EC2
15.220.224.0/23,us-west-2,EC2
3.33.34.0/24,us-east-1,EC2
15.181.250.0/24,us-west-2,EC2
